epoch,acc,loss,val_acc,val_loss
0,0.78,0.4768994379043579,0.6975,0.6165872287750244
1,0.81625,0.4109307336807251,0.54,0.8680688381195069
2,0.8075,0.4015115821361542,0.5575,0.776892557144165
3,0.8075,0.41127665758132936,0.7,0.6036126184463501
4,0.825,0.3915211844444275,0.6325,0.7168199944496155
5,0.823125,0.3884135603904724,0.51,0.9164454507827758
6,0.811875,0.40247920274734494,0.7175,0.5950461339950561
7,0.82375,0.3758773136138916,0.6775,0.644437599182129
8,0.82125,0.39157274007797244,0.7,0.5913644742965698
9,0.82,0.37590384244918823,0.7175,0.5826069641113282
10,0.83375,0.3705552160739899,0.605,0.8015190172195434
11,0.834375,0.3689197981357574,0.6575,0.6752478504180908
12,0.829375,0.36962634801864624,0.7225,0.564363603591919
13,0.835,0.358266099691391,0.5525,0.8373692035675049
14,0.85,0.3515372097492218,0.7,0.6113699579238892
15,0.855625,0.340146541595459,0.645,0.7328384065628052
16,0.848125,0.34885053992271425,0.64,0.6962369298934936
